Instance,claspfolio
./SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.180-SAT.cnf,528.6176
./SAT07/industrial/jarvisalo/eq.atree.braun.12.unsat.cnf,50000.0000
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom19.cnf,50000.0000
./SAT11/application/fuhs/AProVE11/AProVE11-10.cnf,135.4018
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom18.cnf,50000.0000
./SAT09/APPLICATIONS/diagnosis/UTI-20-10t0.cnf,50.9783
./SAT09/APPLICATIONS/bitverif/maxor/maxor128.cnf,50000.0000
./SAT07/industrial/IBM_FV_2004_30/IBM_FV_2004_rule_batch_30_SAT_dat.k80.cnf,50000.0000
./SAT07/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,59.9162
./SAT07/industrial/fuhs/medium/AProVE07-21.cnf,306.7750
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-27-step14.cnf,403.2984
./SAT09/APPLICATIONS/bitverif/maxxororand/maxxororand064.cnf,50000.0000
./SAT04/industrial/velev/pipe-sat-1-1/12pipe_bug6_q0.used-as.sat04-725.cnf,152.9199
./SAT09/APPLICATIONS/crypto/md5gen/gus-md5-12.cnf,50000.0000
SAT-Race-2010-CNF/software-verification/nec/hard-6-U-7061.cnf,104.5589
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-pdtpmsns2-tseitin.cnf,430.3110
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-bc57sensorsp2-tseitin.cnf,63.7849
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.035-NOTKNOWN.cnf,50000.0000
SAT-Race-2010-CNF/hardware-verification/velev/2dlx_ca_bp_f_liveness.cnf,50000.0000
SAT_RACE08/Q1/SAT_dat.k80_04.cnf,64.2663
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_2_keyfind_1.cnf,4.9992
./SAT11/application/leberre/2dimensionalstrippacking/korf-18.cnf,50000.0000
./SAT09/APPLICATIONS/diagnosis/ACG-10-10p0.cnf,71.3577
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top26.cnf,50000.0000
./SAT05/industrial/grieu05/vmpc/vmpc_25.renamed-as.sat05-1913.cnf,64.4653
./SAT07/industrial/palacios/hard/sortnet-8-ipc5-h19-sat.cnf,50000.0000
./SAT11/application/leberre/2dimensionalstrippacking/korf-15.cnf,103.0545
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_1_keyfind_1.cnf,0.0270
./SAT02/industrial/biere/dinphil/dp04u03.shuffled.cnf,0.0500
SAT_RACE08/cnf/ibm-2002-30r-k85.cnf,498.4960
./SAT07/industrial/anbulagan/hard-sat/partial-10-15-s.cnf,217.1700
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom24.cnf,50000.0000
./SAT11/application/rintanen/SATPlanning/blocks-blocks-37-1.120-NOTKNOWN.cnf,511.2596
./SAT09/APPLICATIONS/crypto/desgen/gss-16-s100.cnf,16.9140
./SAT11/application/leberre/2dimensionalstrippacking/E02F17.cnf,88.4805
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom23.cnf,50000.0000
