Instance,claspfolio
cv_data5-4-36,162.7260
cv_data5-6-11,19.3050
cv_data5-6-19,3253.3750
cv_data4-6-21,6.2400
cv_data4-6-20,17.5810
cv_data4-6-27,1.3280
cv_data4-6-25,0.7200
cv_data4-6-24,38.7500
cv_data4-6-29,1.4200
cv_data4-6-28,87.1130
cv_data3-8-2,0.0800
BF18_cpmp_20_5_60_12_45_2,0.3520
cv_data5-4-29,150.4450
cv_data5-4-22,38.8220
cv_data5-4-23,0.1960
cv_data5-4-20,21.5850
cv_data5-4-21,2822.9160
cv_data5-4-27,5.9000
cv_data5-4-24,265.5250
cv_data5-4-25,201.6010
cv_data4-5-39,5.5040
cv_data4-5-35,2.8800
cv_data4-5-34,13.0810
cv_data4-5-31,0.2680
cv_data4-5-30,2.9400
cv_data4-5-32,1.4240
BF7_cpmp_16_5_64_26_39_20,2240.4240
cv_data4-5-28,0.0840
cv_data4-5-29,3.2040
cv_data4-5-26,11.3170
cv_data4-7-8,0.5960
BF27_cpmp_20_8_96_39_58_6,178.7670
cv_data3-7-12,0.4360
BF27_cpmp_20_8_96_39_58_9,36000.0000
cv_data5-7-22,15.0890
cv_data5-5-40,33.0940
BF20_cpmp_20_5_60_24_45_20,0.0040
BF28_cpmp_20_8_96_39_72_19,220.9100
BF18_cpmp_20_5_60_12_45_6,0.0040
BF18_cpmp_20_5_60_12_45_7,1.2560
cv_data5-4-1,64.0560
BF18_cpmp_20_5_60_12_45_5,36000.0000
cv_data5-4-7,28.4300
BF18_cpmp_20_5_60_12_45_3,36000.0000
BF18_cpmp_20_5_60_12_45_1,0.0600
cv_data5-4-9,42.9110
BF18_cpmp_20_5_60_12_45_8,0.0040
BF18_cpmp_20_5_60_12_45_9,0.0040
LC3b_lc3b_10,1984.6960
cv_data5-8-8,359.3620
cv_data5-8-6,1532.8800
cv_data5-8-4,1792.3120
cv_data5-8-3,508.5960
cv_data5-8-2,391.5400
cv_data5-10-23,556.4230
BF4_cpmp_16_5_48_20_36_3,0.0040
LC2a_lc2a_1,0.7640
LC2a_lc2a_3,30.6940
LC2a_lc2a_2,160.2340
LC2a_lc2a_5,1.8040
LC2a_lc2a_4,0.1120
LC2a_lc2a_7,6.7960
BF3_cpmp_16_5_48_20_29_19,155.0300
BF3_cpmp_16_5_48_20_29_13,0.0000
BF3_cpmp_16_5_48_20_29_11,0.0000
BF3_cpmp_16_5_48_20_29_16,5.6280
BF3_cpmp_16_5_48_20_29_14,36000.0000
BF23_cpmp_20_5_80_32_48_18,4.6600
cv_data4-5-9,0.7360
BF23_cpmp_20_5_80_32_48_11,12.1410
BF23_cpmp_20_5_80_32_48_10,18.6210
cv_data4-5-5,0.1160
BF23_cpmp_20_5_80_32_48_12,478.1020
cv_data4-5-3,0.0800
cv_data4-5-2,0.7880
cv_data4-5-1,0.4080
BF23_cpmp_20_5_80_32_48_16,166.6020
cv_data3-8-38,0.5360
cv_data3-8-37,0.1120
BF23_cpmp_20_5_80_32_48_15,139.5570
cv_data3-7-30,0.0040
cv_data4-6-4,1.4320
cv_data4-6-5,0.7880
cv_data4-6-7,80.5850
cv_data4-6-1,236.2510
cv_data4-6-2,0.3120
cv_data4-6-3,61.4120
cv_data4-6-8,0.0880
cv_data4-6-9,1.0040
BF8_cpmp_16_5_64_26_48_1,24.6450
BF8_cpmp_16_5_64_26_48_5,32.8980
BF8_cpmp_16_5_64_26_48_4,36000.0000
BF8_cpmp_16_5_64_26_48_7,36000.0000
cv_data5-8-29,49.3430
